OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
66120,LOVES TRAVEL STOP #306,"I-40/SR-66, EXIT 412",Dandridge,TN,LOVES TRAVEL STOP #306 Dandridge TN ,36.0115559,-83.5322918,405,3.689
5730,SCOTTS QUICK STOP,SR-53 & SR-46,Marlette,MI,SCOTTS QUICK STOP Marlette MI ,43.4151133,-83.0877156,342,3.399
72640,Kwik Trip # 1721,SR 553 & FM 480,Marquette,MI,Kwik Trip # 1721 Marquette MI ,46.4646402,-87.4257849,395,3.819
4981,JOHNNYS MARKET,"I-94, EXIT 110 & US-27",Marshall,MI,JOHNNYS MARKET Marshall MI ,42.2722641,-84.9633148,385,3.499
66286,CASEYS #4205,"I-40/75, EXIT 374",Knoxville,TN,CASEYS #4205 Knoxville TN ,35.904649,-84.143657,405,3.099
5830,115 TRUCKSTOP #5001,"I-94, EXIT 115",Marshall,MI,115 TRUCKSTOP #5001 Marshall MI ,42.285358,-84.862717,431,3.429
66300,PILOT TRAVEL CENTERS #149,"I-40, EXIT 42 & SR-222",Stanton,TN,PILOT TRAVEL CENTERS #149 Stanton TN ,35.4623038,-89.4020167,435,3.509
5830,115 TRUCKSTOP #5001,"I-94, EXIT 115",Marshall,MI,115 TRUCKSTOP #5001 Marshall MI ,42.285358,-84.862717,431,3.499
5830,115 TRUCKSTOP #5001,"I-94, EXIT 115",Marshall,MI,115 TRUCKSTOP #5001 Marshall MI ,42.285358,-84.862717,431,3.589
65849,PS FOOD MART #1034,"I-94, EXIT 110 & US-27",Marshall,MI,PS FOOD MART #1034 Marshall MI ,42.2921835,-84.9635487,431,3.459
65849,PS FOOD MART #1034,"I-94, EXIT 110 & US-27",Marshall,MI,PS FOOD MART #1034 Marshall MI ,42.2921835,-84.9635487,431,3.499
66316,CASEYS #4204,SR-168,Knoxville,TN,CASEYS #4204 Knoxville TN ,35.904649,-84.143657,405,3.259
66317,LOVES TRAVEL STOP #314,I-24 EXIT 89,Christiana,TN,LOVES TRAVEL STOP #314 Christiana TN ,35.7242925,-86.3193336,460,3.46233333
65849,PS FOOD MART #1034,"I-94, EXIT 110 & US-27",Marshall,MI,PS FOOD MART #1034 Marshall MI ,42.2921835,-84.9635487,431,3.429
65849,PS FOOD MART #1034,"I-94, EXIT 110 & US-27",Marshall,MI,PS FOOD MART #1034 Marshall MI ,42.2921835,-84.9635487,431,3.549
66892,LOVES TRAVEL STOP #336,"I-94, EXIT 112",Marshall,MI,LOVES TRAVEL STOP #336 Marshall MI ,42.2805609,-84.9299507,385,3.489
